Source,A1-2,A10,A11,A19DI,A19M,A23a,A23b,A23c,A24d,A32,A32V,A3a,A3b,A45,A46D,A47L,A4ab,A4c,A6DC,A6DR,A6M,A6Va,A8C,A8aD,A8aV,A8b,A9,AIP,AuA1,AuCM,AuCPB,AuML,AuRT,LIP,MIP,MST,OPt,PE,PEC,PF,PFG,PG,PGM,PGa-IPa,S2E,TE3,TEO,TPO,V1,V2,V3A,V4,V4T,V5,V6
A6M,0.00509732708911,0.0,0.0,0.0,0.0,0.000356157065266,0.0111158156299,0.00188231750932,0.0551160066938,0.0,0.0,0.0109122402904,0.00043184285855300006,0.0127501547349,0.000199771876677,0.000606756038515,0.126408186804,0.0267629566695,0.227966640281,0.0664335851911,0.0,0.0177907307264,0.012664640781,0.015345568839,0.00101499522528,0.07184683381830001,8.82690440463e-05,0.0018495957506999999,0.0,0.0,0.0,0.00017662049302300003,1.94764724213e-05,0.0,0.0,0.0,0.0,0.00170842824601,0.0,0.00421165479746,0.0,0.000220742997662,3.09904549399e-05,0.0,0.00247394171194,7.18838357215e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A6Va,0.00337697919653,0.00010215108419099999,0.000177006814762,0.005805515239479999,0.000590318772137,8.90392663164e-05,0.0007851206840619999,0.0,0.00920222906585,0.0,0.0,0.00731511791035,0.0792772839073,0.056653600165099995,6.24661641611e-05,0.028390286584099998,0.00315551608074,0.293118096856,0.0036913417832300003,0.011959820175600001,0.0222655704075,0.0,0.145419965494,0.000664013203859,0.05856995799930001,0.00246951102756,0.0,0.0101590836772,0.0,0.000472143531634,0.0,2.52314990034e-05,0.0,0.0,0.00306513409962,0.000836604672115,0.000209665583394,0.0,0.000601950319034,0.0663527069454,0.0,0.0017500150046199999,3.09904549399e-05,0.00208653634966,0.013486568947799999,4.33651344319e-05,4.094668741300001e-05,0.00059093230099,0.0,6.47169171804e-05,0.0038674137778000003,0.00169737734354,0.000959551225273,0.0,4.43380331648e-05
A8C,0.00159291471535,1.91592903399e-05,0.0,0.0038263623169300003,0.0,0.000712314130532,0.0032438672213,3.76463501863e-05,0.000989881214254,0.0,0.0,0.00013360945955,0.000653933471523,0.00255828347431,0.000199771876677,0.00502868248096,0.0016438471816199998,0.13466440102,0.0067692598276,0.0300935618751,0.00992441897017,0.0723663285738,0.0,0.0034851886533499997,0.0414641765375,0.000333551553764,0.0,0.00321874315896,0.0,5.90179414542e-05,0.0,0.0,0.0,0.00234741784038,0.00229885057471,0.000128708411095,0.00020686801820400005,0.000569476082005,0.0069023636582499995,0.0028715828164499997,0.0005636978579480001,0.00175027822785,0.00164249411181,0.00010981770261399999,0.0114887632021,4.33651344319e-05,0.0,0.00010002000400099999,0.0,0.0,0.0047268637379,0.000626173679247,0.00029524653085299994,0.000778005869028,0.0007301084162110002
A8aD,3.18582943069e-05,0.016873965907299997,0.022391362067400004,0.0,0.012987012987,0.039171332317,0.0283890346087,0.000112939050559,0.0047131338459,0.00128644939966,3.01868566426e-05,0.0,0.0,0.000742727460285,0.179854402606,0.05070239704559999,1.9443904336e-05,0.0,0.0007413589621189999,0.066083792738,0.013903912232600001,0.0007892122844969999,0.028042623251400004,0.0,0.0380936519118,0.10010687538799999,0.0917115367641,0.0162719139228,0.0,0.0015130408225,0.0,0.007282414968310001,2.32266456078e-05,0.000796742209632,0.0,0.00038612523328400005,0.00046615243225699995,0.0,4.01300212689e-05,7.6575541772e-05,0.00126772838919,0.0033630666639199998,0.023413003755399998,0.0006589062156819999,0.00035941387890499994,0.00265190047852,0.0,0.00260740412067,0.0,0.0,0.000135391280802,0.0,0.00014762326542700003,0.0,0.0
A8aV,3.18582943069e-05,0.022642558828599998,0.001858571555,0.00224303997889,0.0017709563164100002,0.00608736943603,0.0159888002651,0.0,0.00047660947352999995,0.0,3.01868566426e-05,0.0,2.46767347745e-05,0.0933773468125,0.0358958427615,0.267123841692,0.0,0.007221750212399999,0.00011913271384300001,0.0348225606304,0.0114261229371,0.05446043676580001,0.0580060055186,0.183415888254,0.0,0.00507387215256,0.0005296142642780001,0.046113524033300005,0.0,0.0195694144485,0.0,0.00787656220952,0.0,0.0017705382436300002,0.0176245210728,0.00881652615998,0.000603213849637,0.000284738041002,0.00762470404109,0.00945707940884,0.00184955962249,0.0039055501136199995,0.004875843956060001,0.008785416209090001,0.0041367552479599995,0.000765725986632,0.0,0.0101124668843,0.0007760962359330001,0.000584270067058,0.00873960206673,0.009721800391010001,0.0325133628157,0.00778124582526,0.00930250413168
A8b,0.0,0.00734688155651,0.024028675104,0.0,0.0,0.00463306141953,0.010967356874500001,0.0,0.00139316615339,0.240780445969,0.000301868566426,8.10241451953e-05,0.0007156253084589999,0.00656075923251,0.0486149738152,0.00993710366121,0.0019083856174900002,0.0008496176720479999,0.00531873836438,0.0988052914759,0.146214770251,0.00287666295874,0.0299859630772,0.0680683902738,0.00493757302909,0.0,0.298261099832,0.0027793693256799997,0.0,0.00125729640953,0.0,0.0006812504730910001,0.0,0.0,0.0,6.43542055473e-05,0.00012137240191700001,0.0,0.0,7.6575541772e-05,3.96165121623e-05,0.0006997827460569998,0.0018967781005,0.0008785416209089999,0.0,0.007393128852949999,0.0,0.0005457706221799999,0.0,0.0,0.0,5.33803080044e-05,0.00014762326542700003,0.0,0.0
A9,0.0,0.112328188124,0.0567306841313,0.0,0.0,0.00414514809024,0.000920502184553,0.0,0.0,0.254288164666,0.0204063150904,0.0,0.0,0.000288838456777,0.108288345315,0.007896066088450001,0.0,0.0,0.0,0.0008655832914500002,8.66250866251e-05,0.0,0.00017189218921900002,0.019270980649400003,0.000197955388474,0.127081527316,0.0,3.52659049231e-05,0.0,1.96726471514e-05,0.0,0.0030872088168499997,4.27031180292e-05,0.0,0.0,0.0,0.000104832791697,0.0,0.0,0.0,0.0,9.17978611098e-06,2.30446605522e-05,0.0005490885130680001,0.0,0.00894107940302,0.0,0.00244920423839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIP,0.00038229953168300004,2.24678709445e-05,0.000354013629525,0.0039583058451,0.0,0.0015136675273800001,0.00455603280808,0.0,0.00021997360316799996,0.0,0.0,0.000300621283987,0.0,0.00189808128739,0.0,0.0006848045217400001,0.0009076511360160001,0.0,0.0,0.0108727604244,0.0,0.00384653743359,0.0111749084745,0.000283929585463,0.006992340898580001,0.00011846784942799999,0.0,0.0,0.0,0.0007278879446020001,0.0,0.0,0.0,0.0071307804333100005,0.00229885057471,0.00128708411095,0.0066347475321800005,0.0,0.010995625827699999,0.060418102458100004,0.0413992552096,0.022548541463900004,0.0005268377339780001,0.0,0.000414708321814,0.00674555711552,0.0,5.00100020004e-05,0.000316206536878,7.34776087793e-05,0.00754050290936,0.00676522194853,7.38116327133e-05,0.0006124314084650001,0.0018039419325399997
AuA1,9.55748829208e-05,0.0005349980343169999,0.0,0.0,0.0,0.00014839877719400002,0.00150350182704,3.76463501863e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00197659709045,0.0,0.0,0.0,0.0,0.000249274342689,0.0,0.000241866350982,0.0,0.00156161272005,9.72615163402e-05,0.0,0.0,0.0,0.0,0.13976987287999998,0.0855292541313,0.12973259769200002,0.0891222261222,0.00117370892019,0.0,0.0,0.0021490722297899997,0.0,0.0,0.0,0.00035654860946000003,0.0009257443816980001,0.0,0.0005490885130680001,0.00144900439376,0.0,0.0,0.0848143344572,0.000285492869738,0.0,0.0,0.0,0.0005904930617070001,0.0,0.0
AuCM,0.00191149765842,0.0021314703811199996,0.0,0.0,0.0,0.0005935951087760001,0.00716191370757,0.0007152806535410001,0.0,0.0,0.0,0.0004911084052180001,0.0025971004333000002,8.252527336499999e-05,0.0017394054395999997,8.8012673825e-06,7.78721836232e-05,0.0008496176720479999,0.0,0.0009413214552969999,0.0,0.0015955596922599998,0.000819672131148,0.0035033090584899998,9.66518058749e-05,0.0,8.82690440463e-05,0.000645989217585,0.045961917268500005,0.0,0.0033497096918299997,0.060035483750800006,0.029409028221,0.0,0.0007662835249039999,0.0,0.00807212496069,0.000569476082005,0.0,0.0003445899379740001,0.00143526112552,0.00956480268192,4.60893211043e-05,0.0005490885130680001,0.000552944429085,0.000245344373449,4.094668741300001e-05,0.07216099991239999,0.00046038671589500004,0.0,0.0,0.0,0.00023952658313599996,8.5910652921e-05,0.0
AuCPB,0.0,0.0133256068034,0.0005310204442869999,0.0,0.0,8.90392663164e-05,0.000463715926957,0.0,0.0,0.0,0.00036224227971099995,0.0,0.0,0.000247575820095,0.013266134728399999,0.00019543991715599996,0.0,0.0,0.0,0.000740058273224,0.0,3.18066157761e-05,0.0,0.00908574673481,0.0004387002918680001,0.00236791984541,0.0,0.000105797714769,0.105712409718,0.0946217320032,0.0,0.13233765507099998,0.117467074619,0.00469483568075,0.0,6.43542055473e-05,0.00044231650214499995,0.0,0.0,0.0,0.0,0.00042088530031099994,0.0,0.0181199209313,5.52944429085e-05,0.00894446266074,4.094668741300001e-05,0.0793176519329,7.70178681454e-05,0.0,0.0,0.0,4.59516588549e-05,0.0,0.0
AuML,0.0,0.00127877893051,0.0,0.0,0.0,0.0,0.00012192507739299999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00371600253004,0.0,0.0,0.0,0.0,0.000286150516433,0.0,3.18066157761e-05,0.0,0.00166492631829,0.0,0.000505403934375,0.0,0.0,0.423506237689,0.0240635430399,0.225100491291,0.0,0.07623777465260001,0.00117370892019,0.0,0.0,5.24163958486e-05,0.0,0.0,0.0,0.0,0.00023014387566599998,0.0,0.00032945310784099997,0.0,0.00016772895001700004,0.0,0.0332820432937,0.000209048499252,0.0,0.0,0.0,0.0,0.00036752527128400004,0.0
AuRT,0.0,0.00015819704049799998,8.85034073812e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0315167432699,0.00013770853006,0.0960250111657,0.00060148958594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010981770261399999,9.34841544358e-05,0.0,0.0,0.0035297629767399997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIP,0.00012743317722799997,0.000226238801547,0.00336312948048,0.015173505739500001,0.011216056670600001,0.0381700652909,0.0218746912058,0.0,3.66622671946e-05,0.0,0.0,0.0,0.0,0.0007014648236019999,0.00020822054720400003,0.00569579335442,0.00035449735651399997,0.0,0.000108131487889,0.0498987039157,0.0,0.000667938931298,0.0321957264032,0.0033305838753899994,0.010576295860399999,0.000142032703825,8.82690440463e-05,0.07922663854989999,0.0,0.0008262511803589999,0.0,7.56944970101e-05,0.0,0.0,0.0,0.00212368878306,0.212566340427,0.000284738041002,0.016292788635200003,0.0024504173367,0.0228587275176,0.10805485918800001,0.0813992787018,0.0,0.0,0.013937263678500001,0.0,0.0012502500500099999,0.006037629026010001,0.0067370917394,0.11361181862099999,0.00566873616878,0.0033363794114099994,0.007370801337,0.00357339809792
MIP,0.0,0.0,0.0,0.0335136561552,0.000590318772137,0.00556093007978,0.00634906247751,0.0,0.0,0.0,0.0,0.0,0.0,0.0023519702909,0.0,0.000447069160099,5.84282792872e-05,0.00042480883602399996,0.0,0.0148046432062,0.0,0.000481973169838,0.00848001466813,0.000490556781948,0.0296736123397,1.94386128606e-05,0.0,0.0324488448537,0.0,3.93452943028e-05,0.0,4.77520712461e-05,0.0,0.059761900012,0.0,0.0,0.0160195691155,0.0,0.131024519443,7.6575541772e-05,0.0009507962918939999,0.0136049455927,0.0381953393521,0.0,0.0,4.33651344319e-05,0.0,0.0,0.0019948969472699998,0.000705929364999,0.0642442327877,0.00683569467375,0.0129644933282,0.00654770291744,0.0625306418102
